Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,"28,839",244.585,0.066
2,NEW ENGLAND JOURNAL OF MEDICINE,"332,831",79.26,0.702
3,LANCET,"233,269",53.254,0.436
4,CHEMICAL REVIEWS,"174,920",52.613,0.265
5,Nature Reviews Materials,"3,218",51.941,0.015
6,NATURE REVIEWS DRUG DISCOVERY,"31,313",50.167,0.054
7,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"148,775",47.661,0.3
8,Nature Energy,"5,072",46.859,0.02
9,NATURE REVIEWS CANCER,"50,407",42.784,0.08
10,NATURE REVIEWS IMMUNOLOGY,"39,215",41.982,0.085
11,NATURE,"710,767",41.577,1.355
12,NATURE REVIEWS GENETICS,"35,680",41.465,0.094
13,SCIENCE,"645,134",41.058,1.126
14,CHEMICAL SOCIETY REVIEWS,"125,900",40.182,0.276
15,NATURE MATERIALS,"92,291",39.235,0.195
16,Nature Nanotechnology,"57,369",37.49,0.171
17,LANCET ONCOLOGY,"44,962",36.421,0.136
18,REVIEWS OF MODERN PHYSICS,"47,289",36.367,0.055
19,NATURE BIOTECHNOLOGY,"57,510",35.724,0.161
20,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"43,667",35.612,0.095
21,NATURE REVIEWS NEUROSCIENCE,"40,834",32.635,0.07
22,NATURE MEDICINE,"75,461",32.621,0.172
23,Nature Photonics,"39,331",32.521,0.128
24,NATURE REVIEWS MICROBIOLOGY,"26,627",31.851,0.055
25,CELL,"230,625",31.398,0.583
26,ADVANCES IN PHYSICS,"5,747",30.917,0.005
27,Energy & Environmental Science,"71,920",30.067,0.18
28,World Psychiatry,"4,055",30,0.011
28,World Psychiatry,"4,055",30,0.011
30,LANCET NEUROLOGY,"28,678",27.144,0.069
31,NATURE GENETICS,"93,641",27.125,0.234
32,NATURE METHODS,"54,686",26.919,0.243
33,PSYCHOLOGICAL INQUIRY,"4,063",26.364,0.003
34,JOURNAL OF CLINICAL ONCOLOGY,"156,476",26.36,0.285
35,Nature Chemistry,"29,548",26.201,0.102
36,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"10,618",25.242,0.01
37,LANCET INFECTIOUS DISEASES,"20,494",25.148,0.067
38,Annual Review of Astronomy and Astrophysics,"10,702",24.912,0.021
39,Nature Reviews Clinical Oncology,"8,354",24.653,0.026
40,PROGRESS IN POLYMER SCIENCE,"24,520",24.558,0.027
41,Materials Today,"9,962",24.537,0.017
42,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"7,119",24.48,0.005
43,Cancer Discovery,"11,896",24.373,0.065
44,PHYSIOLOGICAL REVIEWS,"27,680",24.014,0.03
45,PROGRESS IN MATERIALS SCIENCE,"12,382",23.75,0.016
46,BMJ-British Medical Journal,"109,321",23.562,0.15
47,EUROPEAN HEART JOURNAL,"56,054",23.425,0.147
48,Living Reviews in Relativity,"2,409",23.333,0.006
49,Cell Stem Cell,"23,493",23.29,0.096
50,CANCER CELL,"35,217",22.844,0.097
51,Annual Review of Psychology,"18,461",22.774,0.023
51,Annual Review of Psychology,"18,461",22.774,0.023
53,Journal of Statistical Software,"14,900",22.737,0.039
54,Nature Physics,"33,233",22.727,0.122
55,Annual Review of Immunology,"17,086",22.714,0.029
56,ADVANCED MATERIALS,"190,543",21.95,0.365
57,Advanced Energy Materials,"34,218",21.875,0.1
58,Annual Review of Condensed Matter Physics,"2,349",21.853,0.013
59,NATURE IMMUNOLOGY,"41,410",21.809,0.102
60,Lancet Respiratory Medicine,"5,818",21.466,0.031
61,Advances in Optics and Photonics,"2,050",21.286,0.005
61,Psychological Science in the Public Interest,"1,231",21.286,0.004
63,ACCOUNTS OF CHEMICAL RESEARCH,"67,004",20.955,0.142
64,JAMA Oncology,"5,707",20.871,0.028
65,GASTROENTEROLOGY,"73,198",20.773,0.12
66,CLINICAL MICROBIOLOGY REVIEWS,"18,070",20.642,0.02
67,Cell Metabolism,"29,834",20.565,0.102
68,Nature Reviews Endocrinology,"7,377",20.265,0.025
69,IEEE Communications Surveys and Tutorials,"12,217",20.23,0.036
70,Annual Review of Biochemistry,"19,873",20.154,0.03
71,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"26,127",20.099,0.031
72,JAMA Internal Medicine,"11,840",19.989,0.076
73,NATURE NEUROSCIENCE,"59,426",19.912,0.154
74,Nature Reviews Neurology,"8,097",19.819,0.028
75,IMMUNITY,"46,541",19.734,0.136
76,ANNALS OF INTERNAL MEDICINE,"53,689",19.384,0.099
77,Lancet Diabetes & Endocrinology,"5,549",19.313,0.03
78,Nature Climate Change,"17,986",19.181,0.097
78,Nature Climate Change,"17,986",19.181,0.097
80,NATURE CELL BIOLOGY,"39,896",19.064,0.093
81,PHARMACOLOGICAL REVIEWS,"12,719",18.964,0.014
82,CIRCULATION,"167,720",18.881,0.224
83,Annual Review of Plant Biology,"17,852",18.712,0.018
84,Lancet Global Health,"4,455",18.705,0.024
84,Lancet Global Health,"4,455",18.705,0.024
86,TRENDS IN CELL BIOLOGY,"13,708",18.564,0.038
87,Cell Host & Microbe,"15,851",17.872,0.065
88,SURFACE SCIENCE REPORTS,"4,543",17.8,0.003
89,Nano Today,"7,073",17.753,0.014
90,EUROPEAN UROLOGY,"30,723",17.581,0.071
91,Nature Reviews Gastroenterology & Hepatology,"6,686",17.324,0.024
92,GUT,"42,750",17.016,0.072
93,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"99,084",16.834,0.214
94,Science Translational Medicine,"26,692",16.71,0.126
95,JAMA Psychiatry,"8,414",16.642,0.045
95,JAMA Psychiatry,"8,414",16.642,0.045
97,Industrial and Organizational Psychology-Perspectives on Science and Practice,"1,123",16.375,0.003
98,Nature Reviews Disease Primers,"1,559",16.071,0.007
99,Annual Review of Pathology-Mechanisms of Disease,"4,402",15.952,0.01
100,TRENDS IN ECOLOGY & EVOLUTION,"35,124",15.938,0.039
101,ACTA NEUROPATHOLOGICA,"18,786",15.876,0.041
102,Annual Review of Materials Research,"7,801",15.846,0.008
103,TRENDS IN BIOCHEMICAL SCIENCES,"16,944",15.678,0.031
104,Nature Reviews Rheumatology,"6,584",15.661,0.022
105,TRENDS IN COGNITIVE SCIENCES,"25,391",15.557,0.041
105,TRENDS IN COGNITIVE SCIENCES,"25,391",15.557,0.041
107,ENDOCRINE REVIEWS,"12,975",15.545,0.01
108,CELL RESEARCH,"13,728",15.393,0.037
109,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,"3,797",15.325,0.005
110,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"61,024",15.239,0.088
111,Lancet Psychiatry,"3,223",15.233,0.015
111,Lancet Psychiatry,"3,223",15.233,0.015
113,CIRCULATION RESEARCH,"52,753",15.211,0.083
114,Nature Reviews Cardiology,"5,228",15.162,0.018
115,BLOOD,"167,858",15.132,0.278
116,BEHAVIORAL AND BRAIN SCIENCES,"8,900",15.071,0.01
116,BEHAVIORAL AND BRAIN SCIENCES,"8,900",15.071,0.01
118,JOURNAL OF HEPATOLOGY,"37,108",15.04,0.087
119,INTENSIVE CARE MEDICINE,"22,135",15.008,0.038
120,Annual Review of Medicine,"6,111",14.97,0.01
121,Annual Review of Fluid Mechanics,"11,622",14.814,0.012
122,Annual Review of Neuroscience,"13,320",14.675,0.016
123,COORDINATION CHEMISTRY REVIEWS,"30,949",14.499,0.035
124,Nature Geoscience,"20,386",14.391,0.079
125,Physical Review X,"10,288",14.385,0.07
126,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"533,512",14.357,0.728
127,Annual Review of Physiology,"9,111",14.327,0.013
128,NEURON,"89,413",14.319,0.217
129,REPORTS ON PROGRESS IN PHYSICS,"15,949",14.257,0.031
130,MOLECULAR CELL,"61,604",14.248,0.181
131,TRENDS IN IMMUNOLOGY,"11,204",14.188,0.027
132,Nature Microbiology,"2,510",14.174,0.014
133,PROGRESS IN NEUROBIOLOGY,"13,065",14.163,0.016
134,Chem,997,14.104,0.003
135,Nature Reviews Nephrology,"4,668",14.101,0.017
136,HEPATOLOGY,"63,302",14.079,0.103
137,FUNGAL DIVERSITY,"4,078",14.078,0.007
138,ANNALS OF ONCOLOGY,"38,742",13.93,0.096
139,Annual Review of Entomology,"12,338",13.86,0.009
140,Nature Chemical Biology,"19,562",13.843,0.061
141,Physics of Life Reviews,"1,381",13.783,0.003
142,Annual Review of Physical Chemistry,"8,793",13.738,0.014
143,ACS Nano,"134,596",13.709,0.346
144,ADVANCED DRUG DELIVERY REVIEWS,"34,931",13.66,0.043
145,Light-Science & Applications,"4,249",13.625,0.016
146,TRENDS IN BIOTECHNOLOGY,"14,746",13.578,0.019
147,REVIEWS OF GEOPHYSICS,"10,115",13.529,0.013
148,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,"11,301",13.439,0.012
149,DIABETES CARE,"67,278",13.397,0.11
150,AMERICAN JOURNAL OF PSYCHIATRY,"42,370",13.396,0.038
150,AMERICAN JOURNAL OF PSYCHIATRY,"42,370",13.396,0.038
152,NATURE STRUCTURAL & MOLECULAR BIOLOGY,"27,547",13.333,0.082
153,ADVANCED FUNCTIONAL MATERIALS,"78,965",13.325,0.163
154,Annual Review of Pharmacology and Toxicology,"7,827",13.295,0.01
155,Annual Review of Clinical Psychology,"4,926",13.278,0.011
155,Annual Review of Clinical Psychology,"4,926",13.278,0.011
157,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,"49,229",13.258,0.084
158,JOURNAL OF CLINICAL INVESTIGATION,"107,818",13.251,0.165
159,PSYCHOLOGICAL BULLETIN,"47,657",13.25,0.026
159,PSYCHOLOGICAL BULLETIN,"47,657",13.25,0.026
161,GENOME BIOLOGY,"34,697",13.214,0.118
162,Materials Horizons,"2,883",13.183,0.009
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,"3,597",13.122,0.006
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,"3,597",13.122,0.006
165,Nano Energy,"23,023",13.12,0.061
166,Applied Physics Reviews,"1,582",12.894,0.006
167,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,"24,208",12.888,0.092
168,Annual Review of Marine Science,"3,288",12.867,0.01
169,Living Reviews in Solar Physics,"1,134",12.833,0.004
170,Alzheimers & Dementia,"10,436",12.764,0.03
171,INTERNATIONAL MATERIALS REVIEWS,"4,577",12.703,0.005
172,Journal of Cachexia Sarcopenia and Muscle,"2,207",12.511,0.005
173,Advanced Science,"4,030",12.441,0.012
174,Nature Protocols,"36,821",12.423,0.086
175,Bone Research,977,12.354,0.002
176,Nature Communications,"178,348",12.353,0.926
177,ANNALS OF THE RHEUMATIC DISEASES,"41,994",12.35,0.081
178,ACS Energy Letters,"3,282",12.277,0.009
179,EUROPEAN RESPIRATORY JOURNAL,"36,508",12.244,0.057
180,TRENDS IN PLANT SCIENCE,"18,864",12.149,0.026
181,TRENDS IN PHARMACOLOGICAL SCIENCES,"11,806",12.108,0.018
182,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"302,685",12.102,0.571
183,NANO LETTERS,"153,533",12.08,0.331
184,BIOLOGICAL PSYCHIATRY,"42,495",11.984,0.057
185,HUMAN REPRODUCTION UPDATE,"8,378",11.852,0.014
