Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
94,AMERICAN JOURNAL OF PSYCHIATRY,"42,134",12.759,0.07849
96,FRONTIERS IN NEUROENDOCRINOLOGY,"2,595",12.75,0.00795
97,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"178,613",12.73,0.53031
98,Living Reviews in Relativity,"1,093",12.625,0.00558
99,PLOS BIOLOGY,"18,454",12.472,0.15993
100,ANNUAL REVIEW OF MEDICINE,"4,518",12.457,0.01384
101,Annual Review of Microbiology,"7,240",12.415,0.01812
102,DRUG RESISTANCE UPDATES,"1,727",12.312,0.00507
103,Annual Review of Physical Chemistry,"5,844",12.245,0.01626
104,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,"7,837",12.22,0.02142
105,NANO LETTERS,"61,066",12.219,0.31692
106,ANNUAL REVIEW OF ENTOMOLOGY,"7,833",12.18,0.01246
107,TRENDS IN CELL BIOLOGY,"10,653",12.14,0.0526
108,GASTROENTEROLOGY,"56,845",12.032,0.1508
109,PSYCHOLOGICAL BULLETIN,"27,172",11.975,0.0315
109,PSYCHOLOGICAL BULLETIN,"27,172",11.975,0.0315
111,FEMS MICROBIOLOGY REVIEWS,"6,483",11.796,0.01886
112,ALDRICHIMICA ACTA,969,11.786,0.00338
113,Nano Today,"1,279",11.75,0.00829
114,AMERICAN JOURNAL OF HUMAN GENETICS,"35,810",11.68,0.12016
115,TRENDS IN GENETICS,"11,169",11.364,0.0443
116,QUARTERLY REVIEWS OF BIOPHYSICS,"2,192",11.235,0.00647
117,TRENDS IN PHARMACOLOGICAL SCIENCES,"10,168",11.05,0.03089
118,Annual Review of Biomedical Engineering,"2,764",11,0.00821
119,HEPATOLOGY,"44,006",10.885,0.11651
120,ADVANCED MATERIALS,"68,115",10.88,0.24245
121,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,"1,326",10.81,0.00352
122,Nature Reviews Clinical Oncology,649,10.787,0.00388
123,ARCHIVES OF GENERAL PSYCHIATRY,"34,536",10.782,0.0733
123,ARCHIVES OF GENERAL PSYCHIATRY,"34,536",10.782,0.0733
125,ANNALS OF NEUROLOGY,"30,338",10.746,0.07254
126,Annual Review of Ecology Evolution and Systematics,"13,301",10.698,0.02269
127,ARCHIVES OF INTERNAL MEDICINE,"36,978",10.639,0.11093
128,GUT,"28,647",10.614,0.06639
129,BLOOD,"135,857",10.558,0.45131
130,MOLECULAR ASPECTS OF MEDICINE,"2,416",10.552,0.00889
131,Annual Review of Phytopathology,"4,687",10.412,0.00936
132,Annual Review of Analytical Chemistry,549,10.404,0.00401
133,Nature Geoscience,"3,166",10.392,0.03404
134,PROGRESS IN SURFACE SCIENCE,"1,827",10.368,0.00534
135,TRENDS IN BIOCHEMICAL SCIENCES,"14,872",10.364,0.04781
136,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"3,370",10.362,0.00749
137,PROGRESS IN RETINAL AND EYE RESEARCH,"3,143",10.34,0.00923
138,Annual Review of Materials Research,"4,668",10.333,0.0099
139,TRENDS IN MOLECULAR MEDICINE,"5,365",10.308,0.0237
140,MEDICINAL RESEARCH REVIEWS,"2,903",10.228,0.00646
141,ANNUAL REVIEW OF FLUID MECHANICS,"5,982",10.216,0.01365
142,REVIEWS OF PHYSIOLOGY BIOCHEMISTRY AND PHARMACOLOGY,965,10.2,0.00152
143,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"44,997",10.191,0.10676
144,CURRENT OPINION IN IMMUNOLOGY,"8,525",10.141,0.03969
145,CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,"2,538",10.125,0.01053
146,EMBO JOURNAL,"76,014",10.124,0.20632
147,TRENDS IN PLANT SCIENCE,"11,060",10.095,0.03331
148,EUROPEAN HEART JOURNAL,"26,318",10.052,0.1046
149,CURRENT BIOLOGY,"39,883",10.026,0.20664
150,COORDINATION CHEMISTRY REVIEWS,"22,286",10.018,0.04481
151,PROGRESS IN NEUROBIOLOGY,"9,720",9.966,0.02114
152,JOURNAL OF CELL BIOLOGY,"72,566",9.921,0.2093
153,CURRENT OPINION IN STRUCTURAL BIOLOGY,"9,829",9.903,0.04345
154,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,"2,791",9.886,0.01154
155,ACS Nano,"9,914",9.865,0.05575
156,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"482,699",9.771,1.65917
157,Annual Review of Clinical Psychology,"1,126",9.743,0.00846
157,Annual Review of Clinical Psychology,"1,126",9.743,0.00846
159,Advances in Organometallic Chemistry,"1,035",9.692,0.00145
160,TRENDS IN COGNITIVE SCIENCES,"11,991",9.686,0.04877
160,TRENDS IN COGNITIVE SCIENCES,"11,991",9.686,0.04877
162,Molecular Systems Biology,"3,877",9.667,0.03233
163,EUROPEAN CELLS & MATERIALS,"1,005",9.65,0.00297
164,TRENDS IN BIOTECHNOLOGY,"9,026",9.644,0.02357
165,PLoS Genetics,"13,327",9.543,0.1472
166,REVIEWS OF GEOPHYSICS,"5,972",9.538,0.01143
167,TRENDS IN IMMUNOLOGY,"7,147",9.533,0.03108
168,SYSTEMATIC BIOLOGY,"9,559",9.532,0.02658
169,PROGRESS IN LIPID RESEARCH,"3,265",9.51,0.00789
170,CIRCULATION RESEARCH,"42,346",9.504,0.11049
171,Energy & Environmental Science,"1,766",9.488,0.00941
172,CURRENT OPINION IN PLANT BIOLOGY,"8,278",9.437,0.03279
173,CELL RESEARCH,"4,243",9.417,0.0269
174,PLANT CELL,"34,533",9.396,0.10039
175,EJC SUPPLEMENTS,"1,474",9.386,0.00663
176,CURRENT OPINION IN GENETICS & DEVELOPMENT,"7,985",9.381,0.03732
177,JOURNAL OF HEPATOLOGY,"18,481",9.334,0.05343
178,Energy Education Science and Technology,555,9.333,0.00084
179,CURRENT OPINION IN CHEMICAL BIOLOGY,"7,802",9.312,0.02758
179,Laser & Photonics Reviews,789,9.312,0.00632
181,BRIEFINGS IN BIOINFORMATICS,"2,886",9.283,0.01009
182,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,"31,780",9.273,0.07928
183,BRAIN,"35,378",9.232,0.09945
184,Nature Reviews Endocrinology,508,9.191,0.00327
185,MASS SPECTROMETRY REVIEWS,"3,424",9.091,0.01286
186,ANNALS OF THE RHEUMATIC DISEASES,"22,172",9.082,0.06516
187,PLoS Pathogens,"10,833",9.079,0.08301
188,CELL DEATH AND DIFFERENTIATION,"12,873",9.05,0.06105
