Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,"10,976",101.78,0.045
2,NEW ENGLAND JOURNAL OF MEDICINE,"232,068",53.298,0.66383
3,Annual Review of Immunology,"15,990",52.761,0.05199
4,REVIEWS OF MODERN PHYSICS,"31,368",43.933,0.11661
5,CHEMICAL REVIEWS,"103,702",40.197,0.2147
6,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"29,222",39.123,0.17417
7,LANCET,"158,906",38.278,0.36095
8,NATURE REVIEWS GENETICS,"20,384",38.075,0.12132
9,NATURE REVIEWS CANCER,"28,602",37.545,0.12608
10,ADVANCES IN PHYSICS,"4,400",37,0.01484
11,NATURE,"526,505",36.28,1.65524
12,NATURE GENETICS,"76,456",35.532,0.3299
13,Annual Review of Biochemistry,"18,684",34.317,0.05688
14,NATURE REVIEWS IMMUNOLOGY,"22,613",33.287,0.11969
15,NATURE MATERIALS,"39,242",32.841,0.22091
16,CELL,"171,297",32.403,0.66082
17,Energy Education Science and Technology,"2,992",31.677,0.00117
18,SCIENCE,"480,836",31.201,1.41162
19,NATURE REVIEWS NEUROSCIENCE,"24,316",30.445,0.10612
20,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"117,668",30.026,0.28566
21,Nature Photonics,"10,259",29.278,0.09377
22,NATURE REVIEWS DRUG DISCOVERY,"16,887",29.008,0.0691
23,CHEMICAL SOCIETY REVIEWS,"35,918",28.76,0.13678
24,Nature Nanotechnology,"16,581",27.27,0.12858
25,PHYSIOLOGICAL REVIEWS,"20,735",26.866,0.04726
26,CANCER CELL,"19,726",26.566,0.11452
27,Annual Review of Astronomy and Astrophysics,"7,112",26.452,0.02108
28,NATURE IMMUNOLOGY,"31,436",26.008,0.16336
29,Annual Review of Plant Biology,"13,134",25.962,0.0296
30,Annual Review of Neuroscience,"11,948",25.737,0.03054
31,Cell Stem Cell,"10,145",25.421,0.10082
32,BEHAVIORAL AND BRAIN SCIENCES,"6,081",25.056,0.01026
32,BEHAVIORAL AND BRAIN SCIENCES,"6,081",25.056,0.01026
34,PROGRESS IN POLYMER SCIENCE,"12,408",24.1,0.0296
35,LANCET NEUROLOGY,"12,969",23.462,0.06899
36,NATURE BIOTECHNOLOGY,"36,144",23.268,0.12942
37,LANCET ONCOLOGY,"13,237",22.589,0.06914
38,NATURE MEDICINE,"54,228",22.462,0.16542
39,Annual Review of Genetics,"6,212",22.233,0.02515
40,ACCOUNTS OF CHEMICAL RESEARCH,"39,664",21.64,0.1012
41,Annual Review of Pharmacology and Toxicology,"7,084",21.639,0.01516
42,IMMUNITY,"31,337",21.637,0.1571
43,NATURE REVIEWS MICROBIOLOGY,"12,517",21.182,0.06682
44,Annual Review of Physiology,"7,768",20.827,0.02214
45,Nature Chemistry,"5,260",20.524,0.03284
46,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"18,742",20.394,0.04532
47,PHARMACOLOGICAL REVIEWS,"9,712",20.225,0.01605
48,Annual Review of Pathology-Mechanisms of Disease,"1,762",20,0.01362
49,ENDOCRINE REVIEWS,"12,765",19.929,0.02334
50,NATURE CELL BIOLOGY,"29,959",19.488,0.15877
51,NATURE METHODS,"15,269",19.276,0.12512
52,Nature Physics,"14,228",18.967,0.17245
53,JOURNAL OF CLINICAL ONCOLOGY,"120,262",18.372,0.39463
54,PROGRESS IN MATERIALS SCIENCE,"5,017",18.216,0.01513
55,ECOLOGY LETTERS,"14,561",17.557,0.06713
56,Living Reviews in Relativity,"1,215",17.462,0.0056
57,LANCET INFECTIOUS DISEASES,"8,629",17.391,0.03521
58,Annual Review of Psychology,"9,464",16.833,0.02575
58,Annual Review of Psychology,"9,464",16.833,0.02575
60,ANNALS OF INTERNAL MEDICINE,"45,683",16.733,0.12029
61,Annual Review of Marine Science,653,16.457,0.00526
62,PLOS MEDICINE,"12,574",16.269,0.07626
63,CLINICAL MICROBIOLOGY REVIEWS,"11,551",16.129,0.02169
64,ALDRICHIMICA ACTA,"1,100",16.091,0.00328
65,Annual Review of Cell and Developmental Biology,"8,399",15.836,0.02744
66,TRENDS IN ECOLOGY & EVOLUTION,"22,734",15.748,0.06008
67,NATURE NEUROSCIENCE,"39,636",15.531,0.15963
68,Nano Today,"2,170",15.355,0.01213
69,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"4,487",14.951,0.00815
70,Annual Review of Genomics and Human Genetics,"2,172",14.829,0.01479
71,CIRCULATION,"148,286",14.739,0.33928
72,NEURON,"64,092",14.736,0.2275
73,REPORTS ON PROGRESS IN PHYSICS,"9,150",14.72,0.02905
74,Nature Chemical Biology,"9,001",14.69,0.06514
75,PSYCHOLOGICAL BULLETIN,"28,331",14.457,0.02969
75,PSYCHOLOGICAL BULLETIN,"28,331",14.457,0.02969
77,Annual Review of Ecology Evolution and Systematics,"14,049",14.373,0.0233
