Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,"24,539",187.04,0.06452
2,NEW ENGLAND JOURNAL OF MEDICINE,"315,143",72.406,0.69989
3,NATURE REVIEWS DRUG DISCOVERY,"28,750",57,0.06077
4,CHEMICAL REVIEWS,"159,155",47.928,0.24655
5,LANCET,"214,732",47.831,0.40423
6,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"40,565",46.602,0.09573
7,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"141,015",44.405,0.28035
8,NATURE BIOTECHNOLOGY,"53,992",41.667,0.16973
9,NATURE REVIEWS GENETICS,"32,654",40.282,0.1024
10,NATURE,"671,254",40.137,1.43257
11,NATURE REVIEWS IMMUNOLOGY,"34,948",39.932,0.09292
12,NATURE MATERIALS,"81,831",39.737,0.20397
13,Nature Nanotechnology,"48,814",38.986,0.17241
14,CHEMICAL SOCIETY REVIEWS,"113,731",38.618,0.28411
15,Nature Photonics,"35,595",37.852,0.12598
16,SCIENCE,"606,635",37.205,1.15823
17,NATURE REVIEWS CANCER,"46,017",37.147,0.08488
18,REVIEWS OF MODERN PHYSICS,"45,510",36.917,0.06964
19,LANCET ONCOLOGY,"38,110",33.9,0.12184
20,PROGRESS IN MATERIALS SCIENCE,"10,521",31.14,0.01671
21,Annual Review of Astronomy and Astrophysics,"9,417",30.733,0.02066
22,CELL,"217,952",30.41,0.59398
23,NATURE MEDICINE,"70,491",29.886,0.17847
24,Energy & Environmental Science,"59,187",29.518,0.18611
25,Living Reviews in Relativity,"2,186",29.3,0.00682
26,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"6,361",29.28,0.00549
27,NATURE REVIEWS NEUROSCIENCE,"36,952",28.88,0.07123
28,Annual Review of Immunology,"17,290",28.396,0.0364
29,NATURE GENETICS,"88,954",27.959,0.24129
30,CANCER CELL,"32,653",27.407,0.10279
31,PHYSIOLOGICAL REVIEWS,"25,952",27.312,0.03317
32,Annual Review of Pathology-Mechanisms of Disease,"4,105",26.853,0.01304
33,NATURE REVIEWS MICROBIOLOGY,"23,640",26.819,0.05791
34,World Psychiatry,"3,153",26.561,0.0095
34,World Psychiatry,"3,153",26.561,0.0095
36,LANCET NEUROLOGY,"24,566",26.284,0.06547
37,Nature Chemistry,"24,811",25.87,0.10139
38,PROGRESS IN POLYMER SCIENCE,"22,723",25.766,0.02983
39,NATURE METHODS,"45,957",25.062,0.21819
40,JOURNAL OF CLINICAL ONCOLOGY,"149,617",24.008,0.28451
41,Cell Stem Cell,"21,524",23.394,0.09235
42,IMMUNITY,"43,303",22.845,0.14937
43,Annual Review of Plant Biology,"17,998",22.808,0.01877
44,Nature Physics,"30,007",22.806,0.13222
45,ADVANCES IN PHYSICS,"5,466",21.818,0.00475
46,Materials Today,"8,312",21.695,0.01745
47,NATURE IMMUNOLOGY,"38,936",21.506,0.11338
48,BMJ-British Medical Journal,"100,535",20.785,0.15994
49,Nature Reviews Clinical Oncology,"6,733",20.693,0.02675
50,ACCOUNTS OF CHEMICAL RESEARCH,"61,609",20.268,0.13658
51,Nature Reviews Neurology,"6,557",20.257,0.02694
52,EUROPEAN HEART JOURNAL,"51,199",20.212,0.14265
53,NATURE CELL BIOLOGY,"38,128",20.06,0.10302
54,Cancer Discovery,"8,944",20.011,0.05335
55,CLINICAL MICROBIOLOGY REVIEWS,"16,502",19.958,0.02027
56,Annual Review of Psychology,"16,071",19.95,0.02359
56,Annual Review of Psychology,"16,071",19.95,0.02359
58,Annual Review of Biochemistry,"19,584",19.939,0.03377
59,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"96,042",19.896,0.22701
60,LANCET INFECTIOUS DISEASES,"18,087",19.864,0.05772
61,ADVANCED MATERIALS,"160,622",19.791,0.32718
62,Lancet Diabetes & Endocrinology,"3,866",19.742,0.02158
63,CIRCULATION,"165,641",19.309,0.24516
64,Nature Climate Change,"13,663",19.304,0.08202
64,Nature Climate Change,"13,663",19.304,0.08202
66,Lancet Respiratory Medicine,"3,920",19.287,0.02047
67,Annual Review of Condensed Matter Physics,"1,915",18.588,0.01191
68,GASTROENTEROLOGY,"70,320",18.392,0.12423
69,Nature Reviews Endocrinology,"6,003",18.318,0.02532
70,Cell Metabolism,"25,575",18.164,0.09958
71,PHARMACOLOGICAL REVIEWS,"12,481",17.893,0.01623
72,NATURE NEUROSCIENCE,"54,399",17.839,0.1604
73,Advances in Optics and Photonics,"1,568",17.833,0.00521
74,Lancet Global Health,"2,649",17.686,0.01534
74,Lancet Global Health,"2,649",17.686,0.01534
