Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
50,LANCET INFECTIOUS DISEASES,"11,710",19.446,0.04021
51,ENDOCRINE REVIEWS,"13,623",19.358,0.02071
52,Annual Review of Plant Biology,"15,228",18.9,0.02557
53,PHARMACOLOGICAL REVIEWS,"11,069",18.551,0.01706
54,Annual Review of Pharmacology and Toxicology,"7,373",18.523,0.01211
55,Nano Today,"3,855",18.432,0.01465
56,Annual Review of Genetics,"7,015",18.115,0.02494
57,ADVANCES IN PHYSICS,"5,026",18.062,0.01019
58,JOURNAL OF CLINICAL ONCOLOGY,"130,991",17.96,0.37162
59,Alzheimers & Dementia,"3,821",17.472,0.016
60,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"5,978",16.909,0.01307
61,Cell Metabolism,"15,636",16.747,0.07864
62,Living Reviews in Relativity,"1,600",16.526,0.00633
63,Annual Review of Marine Science,"1,628",16.381,0.01239
64,BMJ-British Medical Journal,"85,434",16.378,0.15994
65,ALDRICHIMICA ACTA,"1,066",16.333,0.00243
66,ANNALS OF INTERNAL MEDICINE,"47,309",16.104,0.10256
67,CLINICAL MICROBIOLOGY REVIEWS,"12,781",16,0.01944
68,NEURON,"71,989",15.982,0.22596
69,Cancer Discovery,"2,210",15.929,0.01748
70,Nature Reviews Clinical Oncology,"3,523",15.696,0.02285
71,Annual Review of Physical Chemistry,"7,570",15.678,0.01498
72,REPORTS ON PROGRESS IN PHYSICS,"11,421",15.633,0.03444
73,Annual Review of Materials Research,"5,833",15.629,0.01154
74,Energy & Environmental Science,"22,428",15.49,0.08724
75,Annual Review of Medicine,"5,560",15.478,0.0148
76,ADVANCED MATERIALS,"107,567",15.409,0.27506
77,TRENDS IN ECOLOGY & EVOLUTION,"26,806",15.353,0.05433
78,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"79,235",15.343,0.19946
79,Nature Climate Change,"2,871",15.295,0.02107
79,Nature Climate Change,"2,871",15.295,0.02107
81,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,"9,547",15.255,0.01623
82,JNCI-Journal of the National Cancer Institute,"37,903",15.161,0.07242
83,MOLECULAR PSYCHIATRY,"13,902",15.147,0.03924
84,NATURE NEUROSCIENCE,"46,095",14.976,0.15123
85,BEHAVIORAL AND BRAIN SCIENCES,"7,017",14.962,0.00965
85,BEHAVIORAL AND BRAIN SCIENCES,"7,017",14.962,0.00965
87,CIRCULATION,"158,661",14.948,0.28712
88,EUROPEAN HEART JOURNAL,"36,613",14.723,0.111
89,Annual Review of Physiology,"8,246",14.696,0.01583
90,MOLECULAR CELL,"52,033",14.464,0.22564
91,Science Translational Medicine,"9,222",14.414,0.06994
92,PSYCHOLOGICAL BULLETIN,"34,080",14.392,0.03173
92,PSYCHOLOGICAL BULLETIN,"34,080",14.392,0.03173
94,Advanced Energy Materials,"5,433",14.385,0.02204
95,MOLECULAR BIOLOGY AND EVOLUTION,"34,971",14.308,0.08734
96,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,"23,718",14.137,0.08458
97,Nature Reviews Neurology,"3,257",14.103,0.01894
98,Molecular Systems Biology,"7,195",14.099,0.03995
99,PLOS MEDICINE,"16,975",14,0.07366
100,GASTROENTEROLOGY,"62,445",13.926,0.14716
101,JOURNAL OF EXPERIMENTAL MEDICINE,"64,191",13.912,0.13866
102,GENOME RESEARCH,"30,995",13.852,0.14209
103,FEMS MICROBIOLOGY REVIEWS,"8,827",13.806,0.02251
104,JOURNAL OF CLINICAL INVESTIGATION,"96,908",13.765,0.19342
105,ARCHIVES OF GENERAL PSYCHIATRY,"38,622",13.747,0.05448
105,ARCHIVES OF GENERAL PSYCHIATRY,"38,622",13.747,0.05448
107,AMERICAN JOURNAL OF PSYCHIATRY,"43,193",13.559,0.04917
107,AMERICAN JOURNAL OF PSYCHIATRY,"43,193",13.559,0.04917
109,TRENDS IN BIOCHEMICAL SCIENCES,"15,910",13.522,0.03763
110,TRENDS IN PLANT SCIENCE,"15,367",13.479,0.03424
111,GUT,"33,059",13.319,0.06523
112,ASTRONOMY AND ASTROPHYSICS REVIEW,"1,071",13.312,0.00662
113,ARCHIVES OF INTERNAL MEDICINE,"39,734",13.246,0.08546
114,Nature Chemical Biology,"12,495",13.217,0.06645
115,ECOLOGY LETTERS,"20,519",13.042,0.06457
116,Annual Review of Entomology,"9,546",13.021,0.01045
117,Annual Review of Microbiology,"9,159",13.018,0.01717
118,PROGRESS IN LIPID RESEARCH,"4,382",12.963,0.00883
119,Nature Reviews Endocrinology,"2,753",12.958,0.01609
120,NANO LETTERS,"103,399",12.94,0.37484
121,Annual Review of Clinical Psychology,"2,542",12.921,0.00941
121,Annual Review of Clinical Psychology,"2,542",12.921,0.00941
123,IMMUNOLOGICAL REVIEWS,"13,018",12.909,0.04895
124,TRENDS IN NEUROSCIENCES,"18,523",12.902,0.03683
125,World Psychiatry,"1,459",12.846,0.00377
125,World Psychiatry,"1,459",12.846,0.00377
127,Psychological Science in the Public Interest,584,12.833,0.00215
128,ADVANCED DRUG DELIVERY REVIEWS,"23,820",12.707,0.03933
129,GENES & DEVELOPMENT,"59,234",12.639,0.16589
130,EUROPEAN UROLOGY,"19,389",12.48,0.05629
131,Annual Review of Biomedical Engineering,"3,486",12.45,0.00777
132,TRENDS IN CELL BIOLOGY,"11,144",12.314,0.03867
133,Annual Review of Biophysics,"1,975",12.25,0.01725
134,Cell Host & Microbe,"7,622",12.194,0.05313
135,MOLECULAR INTERVENTIONS,"1,073",12.143,0.00197
136,COORDINATION CHEMISTRY REVIEWS,"27,922",12.098,0.03641
137,ACS Nano,"58,446",12.033,0.27071
138,TRENDS IN IMMUNOLOGY,"8,638",12.031,0.02782
139,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"51,564",11.986,0.09482
140,CELL RESEARCH,"8,083",11.981,0.03782
141,ANNALS OF NEUROLOGY,"33,670",11.91,0.06302
142,Annual Review of Condensed Matter Physics,845,11.909,0.00853
143,Living Reviews in Solar Physics,582,11.833,0.0039
144,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"5,154",11.789,0.00764
145,PLOS BIOLOGY,"24,324",11.771,0.11217
146,Nature Geoscience,"10,224",11.668,0.09165
147,NATURE STRUCTURAL & MOLECULAR BIOLOGY,"25,691",11.633,0.11795
148,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,"2,239",11.625,0.00371
149,TRENDS IN GENETICS,"11,015",11.597,0.03147
150,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,"13,505",11.574,0.03247
151,SYSTEMATIC BIOLOGY,"12,226",11.532,0.02869
152,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"462,510",11.444,0.81839
153,Autophagy,"7,829",11.423,0.0356
154,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"215,408",11.336,0.50348
155,Annual Review of Fluid Mechanics,"7,538",11.26,0.01493
156,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,"36,389",11.248,0.07883
157,HEPATOLOGY,"53,052",11.19,0.1269
158,CIRCULATION RESEARCH,"47,185",11.089,0.09265
159,Oceanography and Marine Biology,"2,180",11.083,0.00197
160,Annual Review of Phytopathology,"5,920",11,0.00825
161,AMERICAN JOURNAL OF HUMAN GENETICS,"33,944",10.987,0.08026
162,Annual Review of Ecology Evolution and Systematics,"16,396",10.977,0.01861
163,Materials Today,"4,739",10.85,0.01399
164,Nature Reviews Gastroenterology & Hepatology,"2,342",10.807,0.01376
165,EMBO JOURNAL,"76,176",10.748,0.15327
166,Nature Communications,"17,193",10.742,0.12331
167,NATURAL PRODUCT REPORTS,"7,158",10.715,0.01726
168,GENOME BIOLOGY,"19,687",10.465,0.08273
169,Annual Review of Nutrition,"4,846",10.459,0.00579
170,ADVANCED FUNCTIONAL MATERIALS,"42,244",10.439,0.12072
171,JOURNAL OF HEPATOLOGY,"24,551",10.401,0.06812
172,REVIEWS OF GEOPHYSICS,"7,418",10.4,0.0126
173,DEVELOPMENTAL CELL,"21,439",10.366,0.0994
174,MOLECULAR ASPECTS OF MEDICINE,"3,486",10.302,0.00844
175,PROGRESS IN NEUROBIOLOGY,"11,310",10.301,0.02116
176,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,"15,111",10.284,0.03829
177,Nature Reviews Rheumatology,"2,596",10.252,0.01559
178,BRAIN,"44,457",10.226,0.08991
179,Nano Energy,971,10.211,0.00282
180,Annual Review of Earth and Planetary Sciences,"5,457",10.188,0.01264
181,Nature Reviews Cardiology,"2,196",10.154,0.0131
182,TRENDS IN MOLECULAR MEDICINE,"6,659",10.11,0.02087
183,QUARTERLY REVIEWS OF BIOPHYSICS,"2,529",10.083,0.00546
184,TRENDS IN BIOTECHNOLOGY,"10,767",10.04,0.02046
185,TRENDS IN PHARMACOLOGICAL SCIENCES,"10,912",9.988,0.02402
186,Perspectives on Psychological Science,"3,122",9.955,0.01954
187,EXERCISE IMMUNOLOGY REVIEW,513,9.929,0.00117
188,CURRENT BIOLOGY,"46,037",9.916,0.15522
189,NPG Asia Materials,654,9.902,0.00332
190,PROGRESS IN RETINAL AND EYE RESEARCH,"3,875",9.897,0.00843
191,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"565,934",9.809,1.49966
192,TRENDS IN MICROBIOLOGY,"8,763",9.808,0.02108
193,Advances in Anatomy Embryology and Cell Biology,399,9.8,0.00053
194,BIOLOGICAL REVIEWS,"7,261",9.79,0.01423
195,JOURNAL OF CELL BIOLOGY,"71,491",9.786,0.14943
196,ACTA NEUROPATHOLOGICA,"12,284",9.777,0.03087
197,BLOOD,"149,865",9.775,0.41275
198,PROGRESS IN PHOTOVOLTAICS,"6,206",9.696,0.01612
199,Advances in Optics and Photonics,660,9.688,0.0048
200,ATHEROSCLEROSIS SUPPLEMENTS,744,9.667,0.00093
201,PLANT CELL,"44,699",9.575,0.08765
202,Physics of Life Reviews,828,9.478,0.00273
203,BIOLOGICAL PSYCHIATRY,"40,687",9.472,0.08145
204,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,"31,083",9.466,0.0639
205,CLINICAL INFECTIOUS DISEASES,"49,629",9.416,0.12859
206,ACM Transactions on Intelligent Systems and Technology,"1,028",9.39,0.00682
207,CURRENT OPINION IN PLANT BIOLOGY,"10,736",9.385,0.02852
208,LEUKEMIA,"19,431",9.379,0.05752
209,PSYCHOTHERAPY AND PSYCHOSOMATICS,"3,073",9.37,0.00555
209,PSYCHOTHERAPY AND PSYCHOSOMATICS,"3,073",9.37,0.00555
211,Laser & Photonics Reviews,"2,114",9.313,0.01195
212,STUDIES IN MYCOLOGY,"1,461",9.296,0.00269
213,CANCER RESEARCH,"142,970",9.284,0.25797
214,ANNALS OF THE RHEUMATIC DISEASES,"29,337",9.27,0.074
215,ISME Journal,"8,309",9.267,0.04018
216,AMERICAN JOURNAL OF GASTROENTEROLOGY,"28,995",9.213,0.0622
217,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,"15,985",9.197,0.03865
218,SEMINARS IN CANCER BIOLOGY,"4,731",9.143,0.01322
219,SLEEP MEDICINE REVIEWS,"3,512",9.141,0.00917
220,Annual Review of Genomics and Human Genetics,"2,345",9.132,0.01041
221,Wiley Interdisciplinary Reviews-Computational Molecular Science,"1,176",9.041,0.00526
222,BIOTECHNOLOGY ADVANCES,"8,184",8.905,0.02097
223,TRENDS IN ENDOCRINOLOGY AND METABOLISM,"6,047",8.868,0.01916
224,DRUG RESISTANCE UPDATES,"2,113",8.816,0.00483
225,NUCLEIC ACIDS RESEARCH,"126,356",8.808,0.33454
226,IEEE Transactions on Industrial Informatics,"2,644",8.785,0.00823
227,FISH AND FISHERIES,"2,243",8.755,0.00816
228,CURRENT OPINION IN STRUCTURAL BIOLOGY,"10,465",8.747,0.03494
229,CURRENT OPINION IN CELL BIOLOGY,"14,069",8.736,0.04665
230,PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,"2,195",8.711,0.00436
231,HUMAN REPRODUCTION UPDATE,"5,799",8.657,0.01344
232,ADVANCES IN COLLOID AND INTERFACE SCIENCE,"7,891",8.636,0.0138
233,SCHIZOPHRENIA BULLETIN,"13,188",8.607,0.02941
233,SCHIZOPHRENIA BULLETIN,"13,188",8.607,0.02941
235,Chemical Science,"9,303",8.601,0.04006
236,DIABETES CARE,"52,771",8.57,0.1055
237,CURRENT OPINION IN GENETICS & DEVELOPMENT,"8,165",8.568,0.0315
238,THORAX,"18,780",8.562,0.03763
239,ONCOGENE,"62,603",8.559,0.12643
240,CHEMISTRY OF MATERIALS,"79,744",8.535,0.13284
241,KIDNEY INTERNATIONAL,"36,731",8.52,0.06402
242,eLife,722,8.519,0.00277
243,Light-Science & Applications,266,8.476,0.00114
244,DIABETES,"49,801",8.474,0.09326
245,Physical Review X,"1,130",8.463,0.01022
246,Journal of Molecular Cell Biology,"1,011",8.432,0.00573
247,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,"5,362",8.412,0.01914
248,CELL DEATH AND DIFFERENTIATION,"15,552",8.385,0.04355
249,Nature Reviews Nephrology,"1,915",8.368,0.01161
250,BIOMATERIALS,"81,229",8.312,0.13712
251,CEREBRAL CORTEX,"24,708",8.305,0.07654
252,NEUROLOGY,"76,845",8.303,0.11903
253,METABOLIC ENGINEERING,"3,833",8.258,0.01014
254,Geochemical Perspectives,34,8.25,0.00034
255,EMBO Molecular Medicine,"2,188",8.245,0.01341
256,Cold Spring Harbor Perspectives in Biology,"5,419",8.226,0.04529
257,GLOBAL CHANGE BIOLOGY,"22,987",8.224,0.06793
258,CLINICAL CANCER RESEARCH,"68,311",8.193,0.18731
259,PROGRESS IN SOLID STATE CHEMISTRY,"1,608",8.182,0.00115
260,PLoS Genetics,"27,581",8.167,0.18782
261,Advances in Catalysis,"1,433",8.143,0.00057
262,MEDICINAL RESEARCH REVIEWS,"3,511",8.131,0.00575
263,GONDWANA RESEARCH,"5,879",8.122,0.01669
264,Annual Review of Chemical and Biomolecular Engineering,589,8.109,0.0034
265,PLoS Pathogens,"25,613",8.057,0.14205
266,MASS SPECTROMETRY REVIEWS,"3,904",8.053,0.00796
267,CURRENT OPINION IN BIOTECHNOLOGY,"10,289",8.035,0.02414
268,ARTHRITIS AND RHEUMATISM,"46,884",7.871,0.08945
269,CURRENT OPINION IN IMMUNOLOGY,"8,714",7.867,0.0319
270,Obesity Reviews,"6,388",7.859,0.02096
271,EMBO REPORTS,"10,867",7.858,0.03963
272,CRITICAL REVIEWS IN BIOTECHNOLOGY,"1,652",7.837,0.00292
273,NEUROPSYCHOPHARMACOLOGY,"21,567",7.833,0.05741
274,Theranostics,"1,112",7.827,0.00365
275,ACADEMY OF MANAGEMENT REVIEW,"17,707",7.817,0.01436
276,Annual Review of Analytical Chemistry,"1,320",7.814,0.01452
277,JOURNAL OF PINEAL RESEARCH,"6,136",7.812,0.0075
278,Nature Protocols,"20,399",7.782,0.08855
279,CLINICAL CHEMISTRY,"27,192",7.768,0.03757
280,PHARMACOLOGY & THERAPEUTICS,"11,180",7.745,0.02203
281,PHYSICAL REVIEW LETTERS,"378,568",7.728,1.00856
282,PSYCHOLOGICAL REVIEW,"22,243",7.719,0.01844
282,PSYCHOLOGICAL REVIEW,"22,243",7.719,0.01844
284,ANTIOXIDANTS & REDOX SIGNALING,"14,273",7.667,0.04456
285,CURRENT OPINION IN CHEMICAL BIOLOGY,"9,066",7.652,0.02521
286,HYPERTENSION,"34,751",7.632,0.06439
287,AGEING RESEARCH REVIEWS,"2,399",7.628,0.00726
288,NEUROSCIENTIST,"3,594",7.618,0.00915
289,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,"3,672",7.584,0.01089
290,FRONTIERS IN NEUROENDOCRINOLOGY,"3,070",7.581,0.00934
291,Journal of Biomedical Nanotechnology,"3,474",7.578,0.00676
292,ACS Catalysis,"4,446",7.572,0.01762
293,Cold Spring Harbor Perspectives in Medicine,"1,240",7.559,0.00798
294,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,"3,509",7.545,0.00862
295,Mucosal Immunology,"2,420",7.537,0.01346
296,Small,"22,483",7.514,0.07761
297,JOURNAL OF PSYCHIATRY & NEUROSCIENCE,"2,519",7.492,0.00657
297,JOURNAL OF PSYCHIATRY & NEUROSCIENCE,"2,519",7.492,0.00657
299,JACC-Cardiovascular Interventions,"4,558",7.44,0.02863
300,BMC BIOLOGY,"3,214",7.431,0.01638
301,Journal of Cachexia Sarcopenia and Muscle,516,7.413,0.00188
302,PLANT PHYSIOLOGY,"69,345",7.394,0.09947
303,CLINICAL PHARMACOLOGY & THERAPEUTICS,"15,106",7.39,0.03432
304,BRITISH JOURNAL OF PSYCHIATRY,"22,364",7.343,0.02908
304,BRITISH JOURNAL OF PSYCHIATRY,"22,364",7.343,0.02908
306,Nanotoxicology,"2,015",7.336,0.00624
307,Academy of Management Annals,778,7.333,0.00711
307,EPIDEMIOLOGIC REVIEWS,"2,953",7.333,0.0051
309,JOURNAL OF PATHOLOGY,"14,897",7.33,0.03614
310,EMERGING INFECTIOUS DISEASES,"24,364",7.327,0.0639
311,MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,"2,820",7.326,0.00678
312,BMC Medicine,"4,052",7.276,0.01736
313,JOURNAL OF CONTROLLED RELEASE,"31,650",7.261,0.0525
314,MOLECULAR & CELLULAR PROTEOMICS,"15,491",7.254,0.05306
315,GLOBAL ECOLOGY AND BIOGEOGRAPHY,"6,199",7.242,0.01715
316,ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY,"14,310",7.232,0.06383
317,CURRENT OPINION IN MICROBIOLOGY,"7,917",7.216,0.02582
318,Cell Reports,"2,416",7.207,0.01925
319,ANNALS OF SURGERY,"38,297",7.188,0.06625
320,CLINICAL PSYCHOLOGY REVIEW,"8,980",7.179,0.02248
321,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,"2,710",7.167,0.00456
322,EARTH-SCIENCE REVIEWS,"7,460",7.135,0.01854
323,STEM CELLS,"20,399",7.133,0.06161
324,CHEST,"45,651",7.132,0.07759
325,EUROPEAN RESPIRATORY JOURNAL,"27,463",7.125,0.05595
326,ChemSusChem,"6,913",7.117,0.026
327,ECOLOGICAL MONOGRAPHS,"9,092",7.107,0.00988
328,AUTOIMMUNITY REVIEWS,"5,456",7.095,0.01629
329,ENVIRONMENTAL HEALTH PERSPECTIVES,"31,363",7.029,0.05479
330,JOURNAL OF AUTOIMMUNITY,"4,264",7.018,0.01137
331,ARCHIVES OF NEUROLOGY,"22,121",7.008,0.0416
332,CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES,"1,143",7,0.00178
333,Particle and Fibre Toxicology,"1,934",6.987,0.006
334,JACC-Cardiovascular Imaging,"3,744",6.986,0.02302
335,Circulation-Cardiovascular Interventions,"2,311",6.982,0.01578
336,Nano Research,"4,140",6.963,0.01917
337,FUNGAL DIVERSITY,"2,120",6.938,0.00639
338,HUMAN BRAIN MAPPING,"14,858",6.924,0.04166
339,AMERICAN JOURNAL OF CLINICAL NUTRITION,"52,237",6.918,0.0829
340,DIABETOLOGIA,"26,485",6.88,0.05549
341,CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,"2,699",6.875,0.00195
341,mBio,"2,747",6.875,0.01701
343,JOURNAL OF MANAGEMENT,"9,110",6.862,0.01793
344,GREEN CHEMISTRY,"18,513",6.852,0.03989
345,PLANT JOURNAL,"36,475",6.815,0.07362
346,STRUCTURE,"13,343",6.794,0.0474
347,CURRENT OPINION IN NEUROBIOLOGY,"12,062",6.765,0.03586
348,Circulation-Cardiovascular Imaging,"2,341",6.752,0.01399
349,Health Psychology Review,302,6.75,0.00108
350,JOURNAL OF NEUROSCIENCE,"167,915",6.747,0.41315
351,Nanoscale,"16,387",6.739,0.056
352,NEW ASTRONOMY REVIEWS,790,6.722,0.0029
353,CHEMICAL COMMUNICATIONS,"139,193",6.718,0.3162
354,Journal of Physical Chemistry Letters,"13,562",6.687,0.06753
355,HUMAN MOLECULAR GENETICS,"35,897",6.677,0.10689
356,BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,"2,461",6.64,0.00255
357,Neuron Glia Biology,561,6.636,0.00161
358,Annual Review of Public Health,"3,779",6.627,0.00693
358,Annual Review of Public Health,"3,779",6.627,0.00693
358,Oncotarget,"2,217",6.627,0.01106
361,JOURNAL OF MATERIALS CHEMISTRY,"83,225",6.626,0.22681
362,TRAC-TRENDS IN ANALYTICAL CHEMISTRY,"8,346",6.612,0.0179
363,Molecular Plant,"3,444",6.605,0.01621
364,Polymer Reviews,"1,267",6.593,0.00398
365,JOURNAL OF BONE AND MINERAL RESEARCH,"23,020",6.589,0.04433
366,CHEMISTRY & BIOLOGY,"10,344",6.586,0.02941
367,ANNALS OF ONCOLOGY,"24,363",6.578,0.07518
368,EUROPEAN JOURNAL OF HEART FAILURE,"6,854",6.577,0.02263
369,HARVARD LAW REVIEW,"4,274",6.567,0.00458
370,AIDS,"22,630",6.557,0.05746
371,INTERNATIONAL MATERIALS REVIEWS,"2,534",6.552,0.0037
372,NEW PHYTOLOGIST,"30,697",6.545,0.06445
373,CYTOKINE & GROWTH FACTOR REVIEWS,"4,662",6.537,0.00917
374,Clinical Gastroenterology and Hepatology,"9,149",6.534,0.03267
375,IEEE WIRELESS COMMUNICATIONS,"2,910",6.524,0.01189
376,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,"24,432",6.5,0.06117
377,IEEE Communications Surveys and Tutorials,"2,002",6.49,0.00958
378,Annual Review of Nuclear and Particle Science,"2,322",6.487,0.00645
379,Seminars in Immunopathology,"1,649",6.482,0.00842
380,CANCER TREATMENT REVIEWS,"4,867",6.466,0.01412
381,BIOSENSORS & BIOELECTRONICS,"26,704",6.451,0.05313
382,CANCER AND METASTASIS REVIEWS,"5,249",6.449,0.01334
383,GENETICS IN MEDICINE,"4,703",6.435,0.01933
384,MOLECULAR THERAPY,"12,709",6.425,0.03933
385,CRITICAL REVIEWS IN TOXICOLOGY,"3,232",6.414,0.00528
386,CURRENT OPINION IN COLLOID & INTERFACE SCIENCE,"4,931",6.398,0.00943
387,JOURNAL OF INVESTIGATIVE DERMATOLOGY,"24,351",6.372,0.0424
388,MODERN PATHOLOGY,"11,084",6.364,0.02893
389,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,"16,265",6.354,0.02287
389,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,"16,265",6.354,0.02287
391,JOURNAL OF ECONOMIC LITERATURE,"5,479",6.341,0.02376
392,Science Signaling,"6,207",6.337,0.04691
393,ORGANIC LETTERS,"80,234",6.324,0.17828
394,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"29,689",6.314,0.08494
395,PSYCHOLOGICAL INQUIRY,"2,356",6.312,0.00328
396,JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,"69,351",6.31,0.11798
397,IEEE TRANSACTIONS ON FUZZY SYSTEMS,"7,208",6.306,0.01205
398,Current Opinion in Virology,"1,202",6.298,0.0076
399,DRUG METABOLISM REVIEWS,"2,314",6.286,0.00346
400,OncoImmunology,"1,133",6.283,0.00331
401,ASTROPHYSICAL JOURNAL,"193,430",6.28,0.48097
402,DEVELOPMENT,"51,998",6.273,0.11997
403,Advances in Ecological Research,"1,823",6.25,0.00157
404,ENVIRONMENTAL MICROBIOLOGY,"15,872",6.24,0.04942
405,Biotechnology for Biofuels,"1,790",6.221,0.007
406,JOURNAL OF HIGH ENERGY PHYSICS,"59,088",6.22,0.16573
407,Clinical Epigenetics,273,6.219,0.00112
408,TRENDS IN PARASITOLOGY,"5,341",6.217,0.01326
409,RADIOLOGY,"45,811",6.214,0.07187
410,AMERICAN JOURNAL OF TRANSPLANTATION,"17,061",6.19,0.05031
411,EPIDEMIOLOGY,"9,837",6.178,0.02584
411,EPIDEMIOLOGY,"9,837",6.178,0.02584
413,INTERNATIONAL JOURNAL OF CARDIOLOGY,"15,179",6.175,0.03528
414,OPHTHALMOLOGY,"28,188",6.17,0.05322
415,ANESTHESIOLOGY,"22,247",6.168,0.03545
416,CARBON,"39,497",6.16,0.06456
417,Wiley Interdisciplinary Reviews-RNA,"1,015",6.154,0.00664
