Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,"16,130",162.5,0.0603
2,NEW ENGLAND JOURNAL OF MEDICINE,"257,469",54.42,0.65797
3,CHEMICAL REVIEWS,"124,463",45.661,0.21741
4,REVIEWS OF MODERN PHYSICS,"37,647",42.86,0.12864
5,NATURE,"590,324",42.351,1.60305
6,Annual Review of Immunology,"16,653",41.392,0.04785
7,NATURE REVIEWS GENETICS,"26,358",39.794,0.12696
8,LANCET,"176,528",39.207,0.38061
9,NATURE BIOTECHNOLOGY,"42,156",39.08,0.14395
10,NATURE REVIEWS CANCER,"36,052",37.912,0.11207
11,NATURE REVIEWS DRUG DISCOVERY,"21,454",37.231,0.06318
12,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"34,124",36.458,0.13374
13,NATURE MATERIALS,"54,962",36.425,0.2002
14,NATURE REVIEWS IMMUNOLOGY,"27,024",33.836,0.10339
15,Nature Nanotechnology,"27,858",33.265,0.15681
16,CELL,"191,226",33.116,0.5995
17,SCIENCE,"537,035",31.477,1.27503
18,NATURE REVIEWS NEUROSCIENCE,"30,120",31.376,0.08887
19,CHEMICAL SOCIETY REVIEWS,"63,071",30.425,0.2137
20,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"124,822",30.387,0.25083
21,Nature Photonics,"18,623",29.958,0.1187
22,NATURE GENETICS,"81,548",29.648,0.27566
23,PHYSIOLOGICAL REVIEWS,"23,974",29.041,0.04161
24,NATURE MEDICINE,"60,002",28.054,0.16292
25,PROGRESS IN POLYMER SCIENCE,"17,446",26.854,0.03056
26,Annual Review of Biochemistry,"20,070",26.534,0.04978
27,NATURE METHODS,"24,560",25.953,0.15304
28,PROGRESS IN MATERIALS SCIENCE,"6,903",25.87,0.01505
29,NATURE IMMUNOLOGY,"34,765",24.973,0.1426
30,LANCET ONCOLOGY,"20,565",24.725,0.09311
31,SURFACE SCIENCE REPORTS,"4,410",24.562,0.00828
32,ACCOUNTS OF CHEMICAL RESEARCH,"47,005",24.348,0.11167
33,Annual Review of Astronomy and Astrophysics,"8,312",24.037,0.02246
34,CANCER CELL,"24,929",23.893,0.11493
35,NATURE REVIEWS MICROBIOLOGY,"16,774",23.317,0.06886
36,Nature Chemistry,"12,440",23.297,0.07206
37,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"21,386",22.91,0.03943
38,Annual Review of Neuroscience,"13,345",22.66,0.02776
39,Cell Stem Cell,"15,492",22.151,0.11763
40,Annual Review of Pathology-Mechanisms of Disease,"2,767",22.128,0.0144
41,LANCET NEUROLOGY,"17,534",21.823,0.06712
42,TRENDS IN COGNITIVE SCIENCES,"18,076",21.147,0.04375
42,TRENDS IN COGNITIVE SCIENCES,"18,076",21.147,0.04375
44,Nature Physics,"20,321",20.603,0.17318
45,Annual Review of Psychology,"11,810",20.533,0.02447
45,Annual Review of Psychology,"11,810",20.533,0.02447
47,Annual Review of Cell and Developmental Biology,"9,224",20.241,0.02483
48,NATURE CELL BIOLOGY,"34,482",20.058,0.14273
49,IMMUNITY,"34,787",19.748,0.14025
